name,pre_mode,label,score,top,left,bottom,right
1.jpg,B,smoke,0.53,0,30,511,1244
10.jpg,B,smoke,0.71,237,273,297,390
100.jpg,B,smoke,0.84,90,0,301,480
101.jpg,B,smoke,0.60,104,58,216,377
102.jpg,B,smoke,0.74,0,0,249,426
103.jpg,B,smoke,0.74,11,0,230,453
104.jpg,B,smoke,0.87,0,64,786,1138
105.jpg,B,smoke,0.74,0,0,666,1081
106.jpg,B,smoke,0.78,0,255,224,568
107.jpg,B,smoke,0.76,42,49,321,570
108.jpg,B,smoke,0.89,86,4,231,290
109.jpg,B,smoke,0.89,25,186,143,565
11.jpg,B,smoke,0.91,0,13,441,727
110.jpg,B,smoke,0.98,285,531,502,841
111.jpg,B,smoke,0.86,82,199,175,316
112.jpg,B,smoke,0.87,0,82,442,870
113.jpg,B,smoke,0.90,22,28,254,442
114.jpg,B,smoke,0.85,59,383,261,900
115.jpg,B,smoke,0.94,0,143,588,1024
116.jpg,B,smoke,0.38,10,30,268,436
117.jpg,B,smoke,0.88,48,14,238,492
118.jpg,B,None,None,None,None,None,None
119.jpg,B,smoke,0.33,100,35,553,721
12.jpg,B,smoke,0.83,167,278,293,599
120.jpg,B,smoke,0.45,490,479,606,965
121.jpg,B,None,None,None,None,None,None
122.jpg,B,smoke,0.97,76,274,256,509
123.jpg,B,smoke,0.49,151,5,304,310
124.jpg,B,smoke,0.68,3,4,145,324
125.jpg,B,smoke,0.70,25,265,164,442
126.jpg,B,smoke,0.81,366,53,592,944
127.jpg,B,smoke,0.76,0,352,442,1076
128.jpg,B,smoke,0.35,0,507,709,1046
129.jpg,B,smoke,0.57,13,6,324,378
13.jpg,B,smoke,0.44,6,290,134,960
130.jpg,B,smoke,0.96,75,51,333,499
131.jpg,B,smoke,0.96,5,0,327,434
132.jpg,B,smoke,0.96,31,0,333,444
133.jpg,B,smoke,0.97,121,35,451,333
134.jpg,B,smoke,0.76,52,82,144,299
135.jpg,B,smoke,0.85,30,8,333,493
136.jpg,B,smoke,0.76,0,352,442,1076
137.jpg,B,smoke,0.35,0,507,709,1046
139.jpg,B,smoke,0.80,42,0,558,829
14.jpg,B,smoke,0.57,22,106,433,800
140.jpg,B,smoke,0.93,2,70,237,600
141.jpg,B,smoke,0.62,0,0,555,850
142.jpg,B,smoke,0.80,42,0,558,829
143.jpg,B,smoke,0.93,2,70,237,600
144.jpg,B,smoke,0.78,117,160,280,464
145.jpg,B,smoke,0.82,186,361,374,793
146.jpg,B,smoke,0.56,13,203,382,574
147.jpg,B,smoke,0.97,85,390,309,590
148.jpg,B,smoke,0.30,0,478,448,596
149.jpg,B,smoke,0.64,54,375,450,596
15.jpg,B,smoke,0.44,46,20,238,599
150.jpg,B,smoke,0.78,44,59,300,401
151.jpg,B,smoke,0.57,0,78,310,480
152.jpg,B,smoke,0.75,68,97,468,800
153.jpg,B,smoke,0.76,68,96,469,800
154.jpg,B,smoke,0.87,0,15,254,436
155.jpg,B,smoke,0.78,117,160,280,464
156.jpg,B,smoke,0.71,115,369,213,477
158.jpg,B,smoke,0.92,0,525,1156,1328
159.jpg,B,smoke,0.56,3,320,134,585
16.jpg,B,smoke,0.52,0,0,658,1052
160.jpg,B,smoke,0.83,5,0,244,557
161.jpg,B,smoke,0.96,75,51,333,499
162.jpg,B,smoke,0.96,5,0,327,434
163.jpg,B,smoke,0.96,31,0,333,444
164.jpg,B,smoke,0.97,121,35,451,333
165.jpg,B,smoke,0.44,24,59,295,512
166.jpg,B,smoke,0.53,0,92,295,512
167.jpg,B,smoke,0.73,29,96,162,245
168.jpg,B,smoke,0.87,0,0,403,541
169.jpg,B,smoke,0.77,0,0,411,551
170.jpg,B,smoke,0.92,0,0,413,538
171.jpg,B,smoke,0.89,14,0,433,523
172.jpg,B,smoke,0.84,12,18,429,579
173.jpg,B,smoke,0.93,0,0,394,537
174.jpg,B,smoke,0.44,140,321,313,571
175.jpg,B,smoke,0.69,62,50,318,600
176.jpg,B,smoke,0.45,124,105,361,762
177.jpg,B,smoke,0.91,8,215,156,447
178.jpg,B,smoke,0.65,0,0,204,450
179.jpg,B,smoke,0.70,46,67,248,387
18.jpg,B,smoke,0.91,294,374,464,652
180.jpg,B,smoke,0.89,0,88,573,1024
181.jpg,B,None,None,None,None,None,None
182.jpg,B,smoke,0.97,76,274,256,509
183.jpg,B,smoke,0.49,151,5,304,310
184.jpg,B,smoke,0.96,75,51,333,499
185.jpg,B,smoke,0.96,5,0,327,434
186.jpg,B,smoke,0.96,31,0,333,444
187.jpg,B,smoke,0.97,121,35,451,333
188.jpg,B,smoke,0.89,147,105,347,800
189.jpg,B,smoke,0.89,163,4,296,592
19.jpg,B,smoke,0.76,0,133,754,1200
190.jpg,B,smoke,0.68,210,0,309,428
191.jpg,B,smoke,0.75,19,2,167,245
192.jpg,B,smoke,0.78,117,160,280,464
193.jpg,B,smoke,0.71,115,369,213,477
194.jpg,B,smoke,0.61,42,235,927,1600
